orderid,Qty,sku
402-4638468-9930708,1,0to9_Stencils
405-4119208-3577937,1,1.5_Bracelet_Orange
406-5480993-1906718,1,145_PaintColors_PinkHorse
171-1701902-1495537,1,1LoveTravel_Brown
405-1603648-4425932,1,1Safety Door Guard Stopper_5 Pcs
405-0821465-8742764,1,1Safety Door Guard Stopper_5 Pcs
407-5219348-6776363,1,1Stainless Steel Steamer_Medium
406-2183171-2173125,1,1Stainless Steel Steamer_Medium
402-4802660-7807565,1,1Stainless Steel Steamer_Medium
406-7371335-3777960,1,1Stainless Steel Steamer_Medium
404-8680348-2357152,1,1Stainless Steel Steamer_Medium
171-1481206-0377963,1,1Stainless Steel Steamer_Medium
408-0729832-9988318,1,1Stainless Steel Steamer_Medium
402-5511419-3321929,1,1Stainless Steel Steamer_Medium
408-4520652-5301935,1,2CakeLeveler_Green
405-7446264-5527520,1,4 Pcs Bottle Cleaner Brush
171-7616608-7782738,1,4_KittyBabySocks
404-4818697-5186751,1,BabyHat_Black
407-8715569-9116323,1,BabyLeggings-Pink-2-4Y
406-8974113-2387515,1,BabyLeggings-Thin-White-12-24M
405-9917827-0537133,1,BabyLeggings-White-12-24M
403-2705133-3714745,1,BabyLeggings-White-4-6Y
171-3778458-5969950,1,BD-29
404-2670235-9705131,1,Beads_QL-0008
407-4787789-5529133,1,BeadsDesign-2
406-2706475-0373161,1,BL-220
403-2232236-3372307,1,BL-Packof3-BlackPinkDarkGrey-12-24M
406-8361050-9072310,1,BL-Packof3-WhitePurpleGrey-6-12M
405-5100879-9775563,1,BL-Packof3-WhitePurpleGrey-6-12M
405-1379274-0091514,1,BL-Packof3-WhitePurpleGrey-6-12M
408-9161311-1605961,1,BowHeadBand-Color1002
408-3758312-2489109,1,BowHeadBand-Color1002
406-4973077-1765900,1,BowHeadBand-Color1008
402-9046307-6945117,1,BucketHat-Giraffe-Blue
402-8069705-7300325,1,BucketHat-Giraffe-Blue
408-8439134-5229107,1,BulletFoamStick_Blue_50
171-1242841-7920332,1,BulletFoamStick_Blue50
171-1000558-2046736,1,Cap-RabbitCartoon-Grey
402-8144160-9891502,1,CarHammer-Black6773
403-7861686-8029959,1,CBS-01
405-3528547-0081105,1,CleaningKit-5Pcs
407-0032040-8437931,1,ClothHanger-Grey
171-5533793-1739520,1,DIYBeadsSet
407-0960471-6182710,1,DIYBeadsSet
405-1528746-9440351,1,DSLR STRAP
171-4360155-0227530,1,EM-02
402-3618384-7165935,1,FaceBrushCutterHead_Green
408-5038222-7696303,1,FatAnalyzer
408-8984821-3147551,1,Goggles-Colourful-TransBlue&GrdientPink
404-0145062-9396373,1,Goggles-Colourful-TransBlue&GrdientPink
408-1297815-5888350,1,Goggles-PigStyle-Pink
407-7476198-1060327,1,Goggles-PigStyle-Pink
408-6239323-9695529,1,Goggles-PigStyle-Pink
403-9477080-6814711,1,HangingWallet-ForeverLovely_DarkPink
171-7355812-0950721,1,HeadBand-Threaded-LightPurple
403-3735265-5844335,1,Inflatable-BathTub-3Layer-1.5M
402-9002976-8212329,1,JACQUARD-HB3
402-0260958-1271520,1,KitchenSinkStrainer_Handle
404-8176493-1372348,1,L_BabySocks_Tigger-0-8 Years
171-1327355-0542769,1,LargeBakingMat_1
402-0214417-1512311,1,LoveMeMore_Red
171-8557547-8545114,1,LuggageLocks_2
405-0455476-3900355,1,nan
408-8128944-0360368,1,NailBrushWhite
406-5604021-5406748,1,NailBrushWhite
171-0814948-1470731,1,NailGlitter-Design-8
408-0405230-8856344,1,NecklaceDisplay_Black_5
408-8087507-3823512,1,PA-11
408-3712107-5953124,1,PaintingPencils
404-2861245-7028353,1,PencilGrip
402-2809704-9092310,1,PencilGrip
171-2148357-2451508,1,PlainCap_Gray
408-0020021-0261930,1,PlainPickStrap_Black
408-6875375-3155565,1,PopitBag-CatDesign-MultiColor
406-6228972-2337955,1,PresserFoot-OverLock-BlackwithLock
404-3705608-1057967,1,PrintedFlowerHat_Red&Black
402-8451252-8790742,1,Racquet-Grip-SkyBlue-2
406-7016316-1588331,1,RoseTiara_CreamPink
404-8156062-0090730,1,RoseTiara_PeachCream
402-5163171-8673115,1,S_BabySocks_PinkBunny
403-6916467-6699554,1,SCHOOLBAG-18
407-5006040-9612315,1,Set Of 54 Nozzles
171-0427340-7053911,1,Sewing Presser Foot Feet Kit-32
407-1367280-3563525,1,ShoulderStrap_Blue
407-9847656-3489964,1,silicone pot holder_Blue
406-7276369-8453928,1,silicone pot holder_Green
406-6794646-9870749,1,SiliconFaucet_2
171-1806786-5573107,1,SK-05
171-6646620-6330745,1,SmallWallet_Black
404-3802015-3722711,1,Stainless Steel Steamer_Small
406-8729315-4947553,1,SteamerPlate
407-0307199-6748355,1,SWIM-24
405-1994587-2463535,1,TinyWallet_Pink
402-0067291-5703564,1,U-SafetyStrip_Grey
402-6124240-2588339,1,WA-03
405-3606091-6658746,1,WaistBag-ThreeLayer-Black
405-1036441-8642709,1,WaistBand-Bow-White
408-1932615-7944315,1,WAISTBELT-05
403-7209270-7322707,1,WAISTBELT-121
408-5572626-3659520,1,WaistBelt-PinBuckle-Black
171-7103374-2365919,1,WaistBelt-PinBuckle-Black
407-0090465-6769962,1,WaistBelt-Red-PD38
406-3666365-4496323,1,WaistBelt-WhitePearl-Red
406-3666365-4496323,1,WaistBelt-WhitePearl-Red
404-2708977-7260349,1,WaistChain-EL95-19
407-2881302-8500311,1,WaistChain-WP242-3
171-8109086-3613922,1,WaterPouch_BT
403-3584622-7132300,1,WaterPouch_BT
