orderid,Color,Order No.,Qty,SKU,Size
114240345899725632,NA,114240345899725632_1,1,1.5_Bracelet_Blue,Free Size
114245441239151616,NA,114245441239151616_1,1,1.5_Bracelet_Blue,Free Size
114254725209211328,NA,114254725209211328_1,1,1.5_Bracelet_Blue,Free Size
114290683553968960,NA,114290683553968960_1,1,1.5_Bracelet_Blue,Free Size
114322434437570944,NA,114322434437570944_1,1,1.5_Bracelet_Blue,Free Size
114390776330404673,NA,114390776330404673_1,1,1.5_Bracelet_Blue,Free Size
114398553992100737,NA,114398553992100737_1,1,1.5_Bracelet_Blue,Free Size
114409996787413952,NA,114409996787413952_1,2,1.5_Bracelet_Blue,Free Size
114471522744467584,NA,114471522744467584_1,1,1.5_Bracelet_Blue,Free Size
114408687368732800,NA,114408687368732800_1,1,10L_WaterPouch_Transparent,Free Size
114418937541845377,NA,114418937541845377_1,1,10L_WaterPouch_Transparent,Free Size
114342227907527040,White,114342227907527040_1,1,11SewingSet,Free Size
114310530781741184,White,114310530781741184_1,1,11SewingSet,Free Size
114333001512678336,White,114333001512678336_1,1,11SewingSet,Free Size
114359760809030464,White,114359760809030464_1,1,11SewingSet,Free Size
114335322862810048,White,114335322862810048_1,1,11SewingSet,Free Size
114318794165252928,NA,114318794165252928_1,1,12_FlowerMilstoneCards,Free Size
114435400004826049,NA,114435400004826049_1,1,1767936173_3Free Size,Free Size
114471882683511616,NA,114471882683511616_1,1,1767936173_3Free Size,Free Size
114303940291543552,NA,114303940291543552_1,1,1767936173_3Free Size,Free Size
114347731237028352,NA,114347731237028352_1,1,1767936173_3Free Size,Free Size
114345010222003008,NA,114345010222003008_1,1,1767936173_3Free Size,Free Size
114246684829180288,NA,114246684829180288_1,1,1767936173_3Free Size,Free Size
114251222944399872,NA,114251222944399872_1,1,1767936173_3Free Size,Free Size
114270655763079552,NA,114270655763079552_1,1,1767936173_3Free Size,Free Size
114316262168133760,NA,114316262168133760_1,1,1767936173_3Free Size,Free Size
114321943691346304,NA,114321943691346304_1,1,1767936173_3Free Size,Free Size
114325035390268224,NA,114325035390268224_1,1,1767936173_3Free Size,Free Size
114325165604757888,NA,114325165604757888_1,1,1767936173_3Free Size,Free Size
114332834312028288,NA,114332834312028288_1,1,1767936173_3Free Size,Free Size
114339769458180480,NA,114339769458180480_1,1,1767936173_3Free Size,Free Size
114343708275835008,NA,114343708275835008_1,1,1767936173_3Free Size,Free Size
114349663959802240,NA,114349663959802240_1,1,1767936173_3Free Size,Free Size
114363221508289344,NA,114363221508289344_1,1,1767936173_3Free Size,Free Size
114382046314658688,NA,114382046314658688_1,1,1767936173_3Free Size,Free Size
114406590883627136,NA,114406590883627136_1,1,1767936173_3Free Size,Free Size
114416495435379520,NA,114416495435379520_1,1,1767936173_3Free Size,Free Size
