orderid,Qty,output_pdf_location,sku
402-9975516-1966702,1,outputs/amazon_output_pdfs/Order_402-9975516-1966702.pdf,WAISTBELT-73
406-4342488-3211526,1,outputs/amazon_output_pdfs/Order_406-4342488-3211526.pdf,WAISTBELT-73
171-7148432-7208310,1,outputs/amazon_output_pdfs/Order_171-7148432-7208310.pdf,WAISTBELT-73
404-2452350-9144327,1,outputs/amazon_output_pdfs/Order_404-2452350-9144327.pdf,WAISTBELT-73
171-4492304-4244369,1,outputs/amazon_output_pdfs/Order_171-4492304-4244369.pdf,WAISTBELT-73
402-3953233-6496326,1,outputs/amazon_output_pdfs/Order_402-3953233-6496326.pdf,WAISTBELT-73
403-7788932-5865124,1,outputs/amazon_output_pdfs/Order_403-7788932-5865124.pdf,WAISTBELT-73
404-8610094-4845931,1,outputs/amazon_output_pdfs/Order_404-8610094-4845931.pdf,WAISTBELT-73
403-7597066-1354752,1,outputs/amazon_output_pdfs/Order_403-7597066-1354752.pdf,WAISTBELT-73
404-1857346-0345165,1,outputs/amazon_output_pdfs/Order_404-1857346-0345165.pdf,WAISTBELT-73
402-4498957-4325122,1,outputs/amazon_output_pdfs/Order_402-4498957-4325122.pdf,WAISTBELT-73
403-6509018-6021110,1,outputs/amazon_output_pdfs/Order_403-6509018-6021110.pdf,WAISTBELT-73
403-4789861-5669944,1,outputs/amazon_output_pdfs/Order_403-4789861-5669944.pdf,WAISTBELT-73
404-7646311-4530739,1,outputs/amazon_output_pdfs/Order_404-7646311-4530739.pdf,WAISTBELT-73
404-8611435-1280311,1,outputs/amazon_output_pdfs/Order_404-8611435-1280311.pdf,WAISTBELT-73
406-4735190-6326736,1,outputs/amazon_output_pdfs/Order_406-4735190-6326736.pdf,WAISTBELT-73
407-6525368-4190720,1,outputs/amazon_output_pdfs/Order_407-6525368-4190720.pdf,WAISTBELT-73
404-1016754-1396313,1,outputs/amazon_output_pdfs/Order_404-1016754-1396313.pdf,WAISTBELT-73
406-1342646-9400351,1,outputs/amazon_output_pdfs/Order_406-1342646-9400351.pdf,WAISTBELT-73
402-0900022-0901927,1,outputs/amazon_output_pdfs/Order_402-0900022-0901927.pdf,WAISTBELT-73
404-8543330-3301123,1,outputs/amazon_output_pdfs/Order_404-8543330-3301123.pdf,SteamerPlate
402-0310059-9934740,1,outputs/amazon_output_pdfs/Order_402-0310059-9934740.pdf,SteamerPlate
404-0227193-2972308,1,outputs/amazon_output_pdfs/Order_404-0227193-2972308.pdf,SteamerPlate
402-3585411-1856302,1,outputs/amazon_output_pdfs/Order_402-3585411-1856302.pdf,SteamerPlate
406-6318278-8283519,1,outputs/amazon_output_pdfs/Order_406-6318278-8283519.pdf,SteamerPlate
403-2837013-1714740,1,outputs/amazon_output_pdfs/Order_403-2837013-1714740.pdf,SteamerPlate
171-8684360-0351520,1,outputs/amazon_output_pdfs/Order_171-8684360-0351520.pdf,SteamerPlate
403-4167093-2773127,1,outputs/amazon_output_pdfs/Order_403-4167093-2773127.pdf,BS-82
405-5490253-3525952,1,outputs/amazon_output_pdfs/Order_405-5490253-3525952.pdf,BS-82
406-6648528-8637149,1,outputs/amazon_output_pdfs/Order_406-6648528-8637149.pdf,BS-82
406-3975926-5762724,1,outputs/amazon_output_pdfs/Order_406-3975926-5762724.pdf,BS-82
402-0253070-9644320,1,outputs/amazon_output_pdfs/Order_402-0253070-9644320.pdf,BS-82
407-6977582-2187501,1,outputs/amazon_output_pdfs/Order_407-6977582-2187501.pdf,BS-82
407-0274553-6755526,1,outputs/amazon_output_pdfs/Order_407-0274553-6755526.pdf,FatAnalyzer
403-2522707-6445943,1,outputs/amazon_output_pdfs/Order_403-2522707-6445943.pdf,FatAnalyzer
408-1788980-3069960,1,outputs/amazon_output_pdfs/Order_408-1788980-3069960.pdf,FatAnalyzer
403-1577221-5230749,1,outputs/amazon_output_pdfs/Order_403-1577221-5230749.pdf,FatAnalyzer
171-6287101-0408348,1,outputs/amazon_output_pdfs/Order_171-6287101-0408348.pdf,FatAnalyzer
402-3615711-2265150,1,outputs/amazon_output_pdfs/Order_402-3615711-2265150.pdf,FatAnalyzer
403-1365709-2594758,1,outputs/amazon_output_pdfs/Order_403-1365709-2594758.pdf,BabyLeggings-White-4-6Y
171-3601859-3829130,1,outputs/amazon_output_pdfs/Order_171-3601859-3829130.pdf,BabyLeggings-White-4-6Y
402-8440324-3208338,1,outputs/amazon_output_pdfs/Order_402-8440324-3208338.pdf,BabyLeggings-White-4-6Y
402-8292380-2001957,1,outputs/amazon_output_pdfs/Order_402-8292380-2001957.pdf,BabyLeggings-White-4-6Y
402-7163167-1389113,1,outputs/amazon_output_pdfs/Order_402-7163167-1389113.pdf,BabyLeggings-White-4-6Y
407-2497428-1149128,1,outputs/amazon_output_pdfs/Order_407-2497428-1149128.pdf,BowHeadBand-Color1001
403-4457224-1236346,1,outputs/amazon_output_pdfs/Order_403-4457224-1236346.pdf,BowHeadBand-Color1001
407-4864454-6385935,1,outputs/amazon_output_pdfs/Order_407-4864454-6385935.pdf,BowHeadBand-Color1001
