orderid,Qty,sku
OD333460091730830100,1,BS-136
OD333460000969811100,1,BabyHatButton-Black
OD433459976425065100,1,EM-34
OD333459707535635100,1,WC-02
OD433459664392027100,1,BS-109
OD433459510579734100,1,BabyHatButton-Red
OD433458959325468100,1,BS-02
OD333458942501794100,1,BS-62
OD433458736020437100,1,BabyHatButton-Red
OD333458323145264100,1,BS-76
OD333458125351281100,1,BS-109
OD333458025673049400,1,ChildrenBag-Dinosaur-Blue
OD433457965166907100,1,BS-03
OD433457850596684100,1,BS-03
OD433457735134842100,1,SOCKS-SET5-PURPLE-STRAW
OD333457339911134400,1,BS-62
OD333457139902669100,180 18,Cap-Balaclava-Dark
OD333456751853713400,1,BS-107
OD333456743203151400,1,BS-109
OD433456600374881100,1,BS-03
OD433456424635938100,1,BS-03
OD333456047872209100,1,BS-107
OD433455982758071100,1,WC-05
OD333455830249406100,1,BabyHat_Black
OD433455728755698100,1,BS-62
OD433455710272765100,1,WC-01
OD333455547928764100,1,BL-243
OD433455477782677100,1,WC-06
OD433455460643122100,180 18,Cap-Balaclava-
OD333454998088862100,1,BL-239
OD433454657092209100,1,BS-109
OD433454619230609100,1,BS-126
OD333454796351432100,Artificial,KEY-CHEX-CREAM
