order-id	tracking-id	expected-ship-date	asin	sku	product-name	quantity-purchased	invoice-id	package-identifier	ship-service-level	is-prime	pickup-slot	order-item-id	purchase-date	ship-postal-code	ship-country	ship-city	ship-state	carrier	verge-of-cancellation	verge-of-lateShipment
403-7089694-1230741	164608094547	2025-02-18T18:29:59+00:00	B07RF5ZXLB	WaterBottle_Blue	SYGA 1 Piece Stainless Steel 500ml Creative Cartoon Thermos Mug Belly Cup Water Bottle (Blue)	1	IN-308916	403-7089694-1230741	SecondDay	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46665731625682	2025-02-16T06:00:03+00:00	370001	IN	BHUJ	GUJARAT	ATS	true	false
171-0052659-8884306	347836459849	2025-02-18T18:29:59+00:00	B09MTH3JYY	50_CraftButtons_Sunflower	Syga 50 Pieces Sunflower 2 Holes Wooden Buttons Sewing DIY Craft Scrapbooking	1	IN-309905	171-0052659-8884306	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46695105885402	2025-02-17T12:29:08+00:00	603203	IN	NANDIVARAM GUDUVANCHERI	TAMIL NADU	ATS	false	true
408-4540066-3960302	347836460562	2025-02-18T18:29:59+00:00	B09PGBW1GC	BabyBibs-RoadDriving	SYGA Baby Bibs with Sleeves Waterproof Feeding Bibs Unisex Baby Dribble Bibs Painting Apron Bibs Adjustable Closure with Large Pocket for Infant Toddler 1 to 3 Years Old- Road Driving	1	IN-310122	408-4540066-3960302	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46702262254082	2025-02-17T18:02:47+00:00	530027	IN	VISAKHAPATNAM	ANDHRA PRADESH	ATS	false	true
404-1857346-0345165	347836460586	2025-02-18T18:29:59+00:00	B0D2HB2RGL	WAISTBELT-73	SYGA Women Waist Chain Embroidered Dress, Gold or Midnight, Thin Metal Design	1	IN-310024	404-1857346-0345165	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46699900372562	2025-02-17T15:46:53+00:00	500081	IN	HYDERABAD	TELANGANA	ATS	false	true
402-5611184-3725154	347836460593	2025-02-18T18:29:59+00:00	B0B9X3L9ZT	BabyLeggings-Thin-White-6-12M	SYGA Baby Girls Soft Cotton Infant Leggings Toddler Solid Lace Knee Antislip Stockings Socks Newborn Warm Crochet Pants (6-12 Months, Thin-White)	1	IN-309852	402-5611184-3725154	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46695452575882	2025-02-17T11:12:30+00:00	110005	IN	NEW DELHI	DELHI	ATS	false	true
402-4498957-4325122	164608070541	2025-02-18T18:29:59+00:00	B0D2HB2RGL	WAISTBELT-73	SYGA Women Waist Chain Embroidered Dress, Gold or Midnight, Thin Metal Design	1	IN-310041	402-4498957-4325122	SecondDay	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46698997155362	2025-02-17T16:26:58+00:00	421306	IN	KALYAN	MAHARASHTRA	ATS	true	false
404-7583135-1749158	347836460616	2025-02-18T18:29:59+00:00	B0CZ6NC9W8	WP-246	SYGA Glossy Women's Bag Bride Wedding Handbag Women's One Shoulder Crossbody Stylish Bag(RED)	1	IN-310144	404-7583135-1749158	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46702569451322	2025-02-17T18:32:36+00:00	742101	IN	BERHAMPORE	WEST BENGAL	ATS	false	true
403-8632447-7645940	347836412165	2025-02-18T18:29:59+00:00	B0BB7KSDJZ	BabyLeggings-White-2-4Y	SYGA Baby Tights For Girls Soft Cotton Infant Leggings Toddler Solid Knit Stockings Socks Newborn Warm Crochet Pants (2-4 Years, White)	1	IN-309768	403-8632447-7645940	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46691855636962	2025-02-17T09:18:28+00:00	263645	IN	RANIKHET	UTTARAKHAND	ATS	false	true
404-5735478-3177166	347836415180	2025-02-18T18:29:59+00:00	B0DDH4XWZW	BL-209	SYGA Children's Dance Stockings One-Piece Long Pantyhose for Girls Size XL (7-9 Years) | Black	1	IN-310110	404-5735478-3177166	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46702166158362	2025-02-17T17:48:45+00:00	421306	IN	KALYAN	MAHARASHTRA	ATS	false	true
405-5119403-0653918	347836415197	2025-02-18T18:29:59+00:00	B0DDH66G13	BL-224	SYGA Children's Dance Stockings One-Piece Long Pantyhose for Girls Size L (5-7 Years) | Skin Color	1	IN-310080	405-5119403-0653918	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46701995578882	2025-02-17T17:12:17+00:00	110033	IN	NEW DELHI	DELHI	ATS	false	true
