"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"DELIVERED","122766332127412928_1","2025-02-17","West Bengal","SYGA Manual Breast Pump with Feeding Nipple","ManualFeedingPump","Free Size","1","253.0","246.0",
"DELIVERED","122766719124140480_1","2025-02-17","Maharashtra","SYGA Women's Decorative Thin Belt flower shape Rhinestone Metal Buckle 22-36 Waist Belt Dress Accessories","WAISTBELT-121","Free Size","1","185.0","171.0",
"DELIVERED","122767073805103616_1","2025-02-17","Meghalaya","SYGA 3 set Baby Headband Cotton Bow Strechable Hairband  for Newborn Infant Toddlers Kids (Purple, Pink, MintGreen)","PrintedHeadBand-Purple-Pink-MintGreen","1-2 Years","1","214.0","204.0",
"DELIVERED","122767100938056192_1","2025-02-17","Telangana","SYGA Stainless Steel Sink Strainer Basket with Handle 11cm/4.33inch Large Wide Rim Anti Clogging Mesh Drain Filter Vegetable Hair Catcher Drain Cover for Most Bathroom Kitchen Home Sinks Drain-Silver","KitchenSinkStrainer_Handle","Free Size","1","95.0","93.0",
"DELIVERED","122767282463206723_1","2025-02-17","Karnataka","SYGA Women's New Waist Chain Dress Suit Accessories Belt Chain Retro Versatile(Golden)","WAISTBELT-73","Free Size","1","165.0","160.0",
"RTO_COMPLETE","122767343671902912_1","2025-02-17","Maharashtra","SYGA Cake Decoration Tips Set Professional Stainless Steel Piping/Dispenser Nozzle Kit,for Cakes Cupcakes Cookies Pastry 54 Pcs","Set Of 54 Nozzles","Free Size","1","273.0","273.0",
"DELIVERED","122767817837970112_1","2025-02-17","Tamil Nadu","SYGA 4 Pcs Baby Safety Plastic Locks | Child Proof Cabinets, Drawers, Appliances, Toilet Seat, Fridge and Oven | Tools Not Required | Uses Dual Adhesive Tape and Latch System (Blue)","Baby Safety Cabinet Locks_4 Pcs","Free Size","1","80.0","78.0",
"DELIVERED","122768250575811072_1","2025-02-17","Maharashtra","SYGA 1.5 Meter Anti Lost Safety Wrist Bracelet for Baby Child,with Extra Long Harness Strap Walking Hand Belt(Blue)","1.5_Bracelet_Blue","Free Size","1","143.0","139.0",
"DELIVERED","122768323917903232_1","2025-02-17","Rajasthan","SYGA Pack of 12 Brown Thick for Baby Child Infant Kids Safety Table, Desk Corner Edge Cushions Guard Protectos","Corner Guard Protectors_Brown","Free Size","1","110.0","107.0",
"RTO_COMPLETE","122768495460742528_1","2025-02-17","Maharashtra","Syga Set Of 4 Decorative Baking Cake Stencils Tool Kit,Plastic,19.5 Cm,Silver","Set Of 4 Baking Cake Stencils Tool Kit","Free Size","1","83.0","83.0",
"DELIVERED","122768572559813952_1","2025-02-17","Maharashtra","SYGA Baby Safety Strip Furniture Edge Guard Cushion Corner Cover 2 Meter 6.5 feet Tape Infant Bump Protector (L Shape_Brown)","Safety Strip Guard Protector_Brown","Free Size","1","105.0","102.0",
"DELIVERED","122768749480375680_1","2025-02-17","Maharashtra","SYGA Kids Goggles, Modern Stylish Eyewears for Boy's and Girls, FrenzyRound Style - Cream, Suitable for 3-8 Years","Goggles-FrenzyRound-6-Cream","Free Size","1","86.0","84.0",
"DELIVERED","122769755189923968_1","2025-02-17","Uttar Pradesh","SYGA Baby Headbands Nylon Soft Strechable Bow Hairbands for Newborns, Infants, Toddlers and Kids 0-3 Years (Light Pink)","HeadBand-DoubleFlower-LightPink","Free Size","1","138.0","132.0",
